趣吃饭,商业模式匮乏/行业竞争,2015-01-01,2020-04-22,6/4/22,本地生活,北京,A轮
小葱,现金流断裂,2015-12-01,2020-04-14,4/4/13,文娱传媒,广东,A轮
致优教育,商业模式匮乏/行业竞争,2015-03-01,2020-04-07,5/1/6,教育,北京,A轮
钱牛牛,政策监管/法律法规风险,2014-01-01,2020-04-02,6/3/1,金融,上海,B+轮
OneWeb,烧钱/现金流断裂,2012-01-01,2020-03-28,8/2/27,新工业,欧洲,C轮
无疆酒店,烧钱/现金流断裂/行业竞争,2018-12-01,2020-03-28,1/3/27,房产服务,江西,战略投资
美团云,业务调整/产品入场时机/行业竞争,2015-06-01,2020-03-24,4/9/23,企业服务,北京,已上市
人人聚财网,政策监管/法律法规风险,2011-10-01,2020-03-19,8/5/18,金融,广东,D轮
Someet,创始人问题,2014-12-01,2020-03-17,5/3/16,社交网络,北京,天使轮
趣动旅程,现金流断裂,2016-10-01,2020-03-17,3/5/16,教育,北京,A轮
GREYBOX COFFEE,现金流断裂/行业竞争,2016-08-01,2020-03-17,3/7/16,本地生活,北京,A轮
美利金融,现金流断裂/法律法规风险,2015-01-01,2020-03-16,5/2/15,金融,北京,B+轮
证大文化,政策监管/法律法规风险,2011-07-01,2020-03-16,8/8/15,文娱传媒,上海,已上市
美利车金融,现金流断裂/法律法规风险,2014-09-01,2020-03-16,5/6/15,汽车交通,北京,B+轮
铜掌柜,政策监管/法律法规风险,2014-07-01,2020-03-14,5/8/13,金融,浙江,A轮
百弗英语,现金流断裂/行业竞争,2011-04-01,2020-03-05,8/11/4,教育,重庆,尚未获投
百程旅行,现金流断裂/行业竞争,2000-08-01,2020-02-29,19/6/28,旅游,北京,新三板
FCoin,产品缺陷严重/现金流断裂,2018-01-01,2020-02-17,2/1/16,金融,北京,天使轮
HQ Trivia,商业模式匮乏/现金流断裂,2017-12-01,2020-02-16,2/2/15,文娱传媒,北美洲,A轮
明兮大语文,现金流断裂,2016-11-01,2020-02-13,3/3/12,教育,北京,天使轮
Essential Phone,业务调整/产品入场时机/行业竞争,2017-01-01,2020-02-13,3/1/12,新工业,北美洲,B轮
Brandless,烧钱/现金流断裂,2016-02-01,2020-02-11,4/0/10,电子商务,北美洲,C轮
兄弟连IT教育,现金流断裂,2007-04-01,2020-02-06,12/10/5,教育,北京,新三板
奢品惠众,现金流断裂/法律法规风险,2015-09-01,2020-01-15,4/4/14,电子商务,重庆,尚未获投
鼎有财,政策监管/法律法规风险,2015-09-01,2020-01-10,4/4/9,金融,浙江,尚未获投
爱贝信息,法律法规风险,2010-07-01,2020-01-05,9/6/4,金融,广东,战略投资
北斗链,商业模式匮乏/业务过于分散/行业竞争,2012-09-01,2019-12-25,7/3/24,企业服务,河南,尚未获投
我厨生鲜,现金流断裂/行业竞争,2014-12-01,2019-12-12,5/0/11,电子商务,上海,B轮
麻辣诱惑,现金流断裂,2003-04-01,2019-12-11,16/8/10,本地生活,北京,B+轮
淘集集,团队能力不足/烧钱/现金流断裂,2017-05-01,2019-12-09,2/7/8,电子商务,上海,A轮
证大财富,政策监管/法律法规风险,2011-10-01,2019-12-02,8/2/1,金融,上海,尚未获投
康得复材,现金流断裂/政策监管,2014-09-01,2019-12-02,5/3/1,新工业,河北,B轮
鲜来多,业务调整/行业竞争,2018-01-01,2019-11-28,1/10/27,电子商务,浙江,B轮
妙生活,烧钱/行业竞争,2015-04-01,2019-11-28,4/7/27,电子商务,上海,B轮
麦子金服,政策监管/法律法规风险,2015-03-01,2019-11-25,4/8/24,金融,上海,B轮
拓道金服,政策监管/法律法规风险,2013-11-01,2019-11-24,6/0/23,金融,浙江,A轮
核果,商业模式匮乏/业务过于分散/行业竞争,2012-03-01,2019-11-19,7/8/18,企业服务,江苏,不明确
云柏科技,行业竞争,2014-09-01,2019-11-01,5/2/0,医疗健康,广东,尚未获投
迷你生鲜,现金流断裂/行业竞争,2017-11-01,2019-10-29,1/11/28,电子商务,福建,尚未获投
一生健康,政策监管/法律法规风险,2015-01-01,2019-10-17,4/9/16,医疗健康,北京,尚未获投
康睿德生物,商业模式匮乏/行业竞争,2019-03-01,2019-10-16,0/7/15,医疗健康,北京,天使轮
韦博英语,现金流断裂,1996-03-01,2019-10-09,23/7/8,教育,上海,尚未获投
华璟农业,业务调整,2013-03-01,2019-09-17,6/6/16,农业,黑龙江,天使轮
君马汽车,烧钱/现金流断裂/行业竞争,2017-08-01,2019-09-03,2/1/2,汽车交通,湖南,尚未获投
闪光超能界,商业模式匮乏/现金流断裂,2017-03-01,2019-09-01,2/6/0,工具软件,广东,A轮
乐蜂网,业务调整/烧钱/行业竞争,2008-05-01,2019-08-28,11/3/27,电子商务,北京,已被收购
厚本金融,政策监管/法律法规风险,2014-12-01,2019-08-23,4/8/22,金融,上海,A轮
吃个汤,烧钱/现金流断裂,2015-04-01,2019-08-21,4/4/20,本地生活,广东,A+轮
蚂蚁课堂,商业模式匮乏/行业竞争,2015-04-01,2019-08-20,4/4/19,教育,北京,尚未获投
比一下,商业模式匮乏/行业竞争,2013-04-01,2019-08-19,6/4/18,电子商务,北京,天使轮
乐伽公寓,现金流断裂/行业竞争,2016-05-01,2019-08-07,3/3/6,房产服务,江苏,尚未获投
怪兽科学STEM,业务过于分散/融资能力不足,2017-12-01,2019-08-05,1/8/4,教育,四川,尚未获投
51tou,业务调整,2014-06-01,2019-08-02,5/2/1,广告营销,上海,尚未获投
尚品网,现金流断裂/行业竞争,2008-11-01,2019-07-31,10/8/30,电子商务,北京,C轮
晶茂,现金流断裂/行业竞争,2009-04-01,2019-07-26,10/3/25,文娱传媒,上海,尚未获投
